,action,ep_reward,goal_point,goal_reached,path_points,start_point,timestamp,total_step,trajectory_len
0,"[[0.139323428273201, 0.11376947909593582, 0.0], [0.36420321464538574, -0.31627538800239563, 0.0], [-0.8923003673553467, -0.6762279868125916, 0.0], [0.43430250883102417, 0.9045135378837585, 0.0], [0.8516070246696472, -0.37196388840675354, 0.0], [0.14887411892414093, 0.13012342154979706, 0.0], [-0.6680658459663391, 0.9898645877838135, 0.0], [-0.07903997600078583, -0.7700676321983337, 0.0], [0.7738986015319824, -0.5623626112937927, 0.0], [0.23739439249038696, 0.9562563300132751, 0.0]]",-10.0,"[-3.172937296638963, -0.022934586510321778, 1.378]",0.0,"[[-3.1693036556243896, 0.10056892037391663, 1.3968000411987305], [-3.167482614517212, 0.09898741543292999, 1.3968000411987305], [-3.1719443798065186, 0.09560610353946686, 1.3968000411987305], [-3.1697731018066406, 0.10012859106063843, 1.3968000411987305], [-3.165515422821045, 0.0982685387134552, 1.3968000411987305], [-3.16477108001709, 0.0989190936088562, 1.3968000411987305], [-3.168111562728882, 0.10386832058429718, 1.3968000411987305], [-3.1685068607330322, 0.10001781582832336, 1.3968000411987305], [-3.164637565612793, 0.09720605611801147, 1.3968000411987305], [-3.1634507179260254, 0.10198725759983063, 1.3968000411987305]]","[-3.1907007711106523, 0.0400660066613612, 1.378]",2023_02_13-22_44_07,10.0,0.039112402915828244
0,"[[-0.14890100061893463, -0.36286184191703796, 0.0], [-0.15243276953697205, -0.6056067943572998, 0.0], [-0.3268014192581177, -0.7554486393928528, 0.0], [0.8684363961219788, 0.686349093914032, 0.0], [-0.892545223236084, -0.8246863484382629, 0.0], [-0.6347337961196899, -0.04165467619895935, 0.0], [0.4874761700630188, 0.3247290551662445, 0.0], [-0.8484770059585571, -0.05446907505393028, 0.0], [0.2782079577445984, 0.4936639368534088, 0.0], [0.6644729375839233, -0.7157511115074158, 0.0]]",-10.0,"[-3.196465809657514, -0.05286895823218804, 1.378]",0.0,"[[-3.1707451343536377, 0.09818568825721741, 1.3968000411987305], [-3.1715073585510254, 0.09515748918056488, 1.3968000411987305], [-3.1731417179107666, 0.09137991070747375, 1.3968000411987305], [-3.168799877166748, 0.09481163322925568, 1.3968000411987305], [-3.173262596130371, 0.09068803489208221, 1.3968000411987305], [-3.176436424255371, 0.09047962725162506, 1.3968000411987305], [-3.1739988327026367, 0.09210304915904999, 1.3968000411987305], [-3.178241491317749, 0.09183070063591003, 1.3968000411987305], [-3.1768510341644287, 0.09429886937141418, 1.3968000411987305], [-3.1735289096832275, 0.09071993827819824, 1.3968000411987305]]","[-3.145125563722013, 0.04968165992486753, 1.378]",2023_02_13-22_44_09,10.0,0.03888653364951332
0,"[[0.3966001272201538, -0.0037520842161029577, 0.0], [-0.07030950486660004, -0.730979323387146, 0.0], [-0.0902220606803894, 0.7451997995376587, 0.0], [0.4920077323913574, 0.35015588998794556, 0.0], [-0.21458406746387482, -0.12078844755887985, 0.0], [-0.8544706702232361, -0.48422694206237793, 0.0], [-0.659509539604187, -0.17282016575336456, 0.0], [-0.0654364675283432, 0.006446855142712593, 0.0], [0.6120134592056274, -0.33259135484695435, 0.0], [0.5033726096153259, 0.44435831904411316, 0.0]]",-10.0,"[-3.162208026711529, -0.023869920602843403, 1.378]",0.0,"[[-3.1680173873901367, 0.09998127818107605, 1.3968000411987305], [-3.1683692932128906, 0.09632636606693268, 1.3968000411987305], [-3.168820381164551, 0.10005250573158264, 1.3968000411987305], [-3.166360378265381, 0.10180309414863586, 1.3968000411987305], [-3.167433261871338, 0.10119913518428802, 1.3968000411987305], [-3.171705961227417, 0.09877780079841614, 1.3968000411987305], [-3.1750035285949707, 0.097913458943367, 1.3968000411987305], [-3.175330638885498, 0.09794551134109497, 1.3968000411987305], [-3.1722707748413086, 0.09628245234489441, 1.3968000411987305], [-3.1697542667388916, 0.09850415587425232, 1.3968000411987305]]","[-3.159286997906388, 0.047088215283476634, 1.378]",2023_02_13-22_44_11,10.0,0.029147023951626595
0,"[[-0.4800419211387634, 0.260270357131958, 0.0], [-0.8193395733833313, 0.7869537472724915, 0.0], [-0.07952383905649185, -0.835225522518158, 0.0], [-0.5684484839439392, -0.7227237820625305, 0.0], [-0.07493811100721359, -0.15625245869159698, 0.0], [0.1962394267320633, 0.0484766960144043, 0.0], [0.1892690509557724, -0.9041188955307007, 0.0], [0.5110360980033875, -0.2149786502122879, 0.0], [-0.1297682374715805, -0.9875065088272095, 0.0], [-0.0317777544260025, -0.6783314347267151, 0.0]]",-10.0,"[-3.167306694495743, -0.04744573931108376, 1.378]",0.0,"[[-3.17240047454834, 0.1013014018535614, 1.396799921989441], [-3.176497459411621, 0.10523605346679688, 1.3967998027801514], [-3.1768953800201416, 0.10105977952480316, 1.3967996835708618], [-3.1797378063201904, 0.09744609892368317, 1.3967996835708618], [-3.180112600326538, 0.09666450321674347, 1.3967996835708618], [-3.1791317462921143, 0.09690682590007782, 1.3967996835708618], [-3.1781857013702393, 0.0923859179019928, 1.396799921989441], [-3.175630807876587, 0.09131105244159698, 1.3968000411987305], [-3.1762797832489014, 0.0863732248544693, 1.3968000411987305], [-3.176438808441162, 0.08298125863075256, 1.3968000411987305]]","[-3.1855381963847034, 0.03452246495386945, 1.378]",2023_02_13-22_44_13,10.0,0.03484619233476578
