,action,ep_reward,goal_point,goal_reached,path_points,start_point,timestamp,total_step,trajectory_len
0,"[[0.8389036655426025, -0.13875846564769745, 0.0], [0.2998794615268707, -0.8780064582824707, 0.0], [-0.6520117521286011, -0.0035456717014312744, 0.0], [0.2012985646724701, 0.4257262945175171, 0.0], [0.2287483811378479, 0.6907187104225159, 0.0], [0.1433849036693573, -0.48245060443878174, 0.0], [0.17643411457538605, -0.30921870470046997, 0.0], [0.5004410147666931, -0.5138462781906128, 0.0], [0.550277829170227, 0.10067561268806458, 0.0], [0.21006207168102264, -0.18353678286075592, 0.0], [0.004973251838237047, 0.34984004497528076, 0.0], [-0.7190839052200317, -0.7925270199775696, 0.0], [0.46206629276275635, 0.8031578660011292, 0.0], [0.04842222481966019, -0.7931208610534668, 0.0], [0.6934061050415039, 0.6551992297172546, 0.0], [0.6639622449874878, -0.01125207170844078, 0.0], [-0.4760282337665558, 0.3109360337257385, 0.0], [0.11698252707719803, -0.5840770602226257, 0.0], [0.3578318953514099, -0.6635513305664062, 0.0], [-0.7343208193778992, -0.37868860363960266, 0.0], [-0.2590966820716858, -0.11113712191581726, 0.0], [0.5082725882530212, 0.9985479712486267, 0.0], [-0.6463763117790222, -0.2945818603038788, 0.0], [-0.7757329940795898, 0.3500945568084717, 0.0], [0.1933290958404541, 0.3317177891731262, 0.0], [0.7099974155426025, 0.7322403192520142, 0.0], [0.7696212530136108, -0.12448091804981232, 0.0], [0.8398192524909973, -0.2696569859981537, 0.0], [-0.5200361013412476, 0.42801758646965027, 0.0], [-0.15295155346393585, -0.3710778057575226, 0.0], [-0.1478690356016159, 0.5638184547424316, 0.0], [-0.1731068640947342, 0.25360438227653503, 0.0], [-0.4867858588695526, 0.12790463864803314, 0.0], [-0.403782457113266, -0.7092781066894531, 0.0], [-0.6965268850326538, -0.08732108771800995, 0.0], [0.9636819958686829, -0.5275264978408813, 0.0], [-0.9646649956703186, 0.41641271114349365, 0.0], [0.46070006489753723, -0.25053057074546814, 0.0], [-0.14353369176387787, 0.14919696748256683, 0.0], [-0.8055233955383301, -0.6828086972236633, 0.0], [0.5843953490257263, -0.7713185548782349, 0.0], [-0.7953887581825256, 0.46663355827331543, 0.0]]",-42.0,"[-3.1547839176318684, -0.029275601118940335, 1.378]",0.0,"[[-3.1658058166503906, 0.09930609166622162, 1.3968000411987305], [-3.164306640625, 0.09491592645645142, 1.3968000411987305], [-3.167567014694214, 0.09489822387695312, 1.3968000411987305], [-3.166560649871826, 0.09702688455581665, 1.3968000411987305], [-3.165417194366455, 0.10048028826713562, 1.3968000411987305], [-3.164700508117676, 0.09806790947914124, 1.3968000411987305], [-3.163818359375, 0.09652185440063477, 1.3968000411987305], [-3.161316394805908, 0.09395240247249603, 1.3968000411987305], [-3.158565044403076, 0.09445562958717346, 1.3968000411987305], [-3.157515048980713, 0.09353786706924438, 1.3968002796173096], [-3.1574902534484863, 0.09528690576553345, 1.3968005180358887], [-3.161085605621338, 0.09132406115531921, 1.3968005180358887], [-3.1587753295898438, 0.09533995389938354, 1.3968005180358887], [-3.1585333347320557, 0.09137427806854248, 1.3968005180358887], [-3.15506649017334, 0.09465020895004272, 1.3968006372451782], [-3.1517467498779297, 0.09459370374679565, 1.3968007564544678], [-3.1541271209716797, 0.09614843130111694, 1.3968008756637573], [-3.1535425186157227, 0.09322778880596161, 1.3968009948730469], [-3.1517534255981445, 0.08990974724292755, 1.3968009948730469], [-3.155425548553467, 0.08801628649234772, 1.3968011140823364], [-3.156721353530884, 0.08746051788330078, 1.396801233291626], [-3.1541800498962402, 0.09245321154594421, 1.396801233291626], [-3.157412052154541, 0.09098021686077118, 1.396801233291626], [-3.1612908840179443, 0.09273068606853485, 1.396801233291626], [-3.1603245735168457, 0.09438925981521606, 1.396801233291626], [-3.1567747592926025, 0.09805040061473846, 1.3968013525009155], [-3.1529269218444824, 0.09742796421051025, 1.396801471710205], [-3.148728132247925, 0.09607943892478943, 1.3968015909194946], [-3.1513285636901855, 0.09821949899196625, 1.3968015909194946], [-3.1520936489105225, 0.09636381268501282, 1.3968017101287842], [-3.1528332233428955, 0.09918290376663208, 1.3968017101287842], [-3.1536989212036133, 0.10045073926448822, 1.3968017101287842], [-3.1561334133148193, 0.10109028220176697, 1.3968017101287842], [-3.1581525802612305, 0.09754385054111481, 1.3968017101287842], [-3.161635398864746, 0.09710727632045746, 1.3968017101287842], [-3.1568169593811035, 0.09446966648101807, 1.3968018293380737], [-3.1616404056549072, 0.09655158221721649, 1.3968018293380737], [-3.159336805343628, 0.09529870748519897, 1.3968018293380737], [-3.1600544452667236, 0.09604473412036896, 1.3968018293380737], [-3.1640820503234863, 0.09263065457344055, 1.3968018293380737], [-3.1611602306365967, 0.0887739360332489, 1.3968018293380737], [-3.165137529373169, 0.09110680222511292, 1.3968018293380737]]","[-3.1925201217262793, 0.04799198712591881, 1.378]",2023_02_14-11_16_10,42.0,0.1469473109177944
0,"[[-0.8332550525665283, 0.45136013627052307, 0.0], [0.19635947048664093, -0.9698293805122375, 0.0], [0.6821181774139404, 0.09776326268911362, 0.0], [-0.4077083170413971, -0.8597455620765686, 0.0], [-0.18337687849998474, 0.5453868508338928, 0.0], [-0.5801969170570374, -0.4117200970649719, 0.0], [-0.373452365398407, 0.947708249092102, 0.0], [0.6185424327850342, -0.3944863975048065, 0.0], [0.963430643081665, 0.016375020146369934, 0.0], [0.3417665660381317, 0.05368339270353317, 0.0], [-0.3035602271556854, 0.11885670572519302, 0.0], [0.07706116139888763, 0.24492250382900238, 0.0], [-0.2759842872619629, 0.13827721774578094, 0.0], [0.6182272434234619, -0.9872159957885742, 0.0], [0.1754566729068756, -0.7716628909111023, 0.0], [-0.15635322034358978, 0.5329605340957642, 0.0], [0.5471429824829102, -0.3608895540237427, 0.0], [-0.43034249544143677, -0.7108278274536133, 0.0], [0.718146026134491, 0.9779877066612244, 0.0], [0.5113763213157654, 0.84270179271698, 0.0], [0.8099356293678284, 0.7724697589874268, 0.0], [-0.9894080758094788, -0.6493051648139954, 0.0], [-0.4042295217514038, 0.7837275266647339, 0.0], [-0.2419624626636505, 0.3031121492385864, 0.0], [-0.730566680431366, -0.2724485397338867, 0.0], [0.5982486605644226, -0.5852450132369995, 0.0], [0.42381584644317627, -0.9500858187675476, 0.0], [-0.42592653632164, -0.9922558069229126, 0.0], [-0.6356228590011597, 0.4107346832752228, 0.0], [0.5552312135696411, 0.4356728792190552, 0.0], [-0.1768796592950821, 0.24108892679214478, 0.0], [-0.7393088936805725, -0.7774373888969421, 0.0]]",-32.0,"[-3.1466513962129725, -0.04788180695224357, 1.378]",0.0,"[[-3.174166440963745, 0.10225653648376465, 1.3968000411987305], [-3.173184633255005, 0.09740741550922394, 1.3968000411987305], [-3.169774293899536, 0.09789609909057617, 1.3968000411987305], [-3.1718127727508545, 0.0935971736907959, 1.3968000411987305], [-3.172729969024658, 0.09632399678230286, 1.3968000411987305], [-3.175631523132324, 0.09426519274711609, 1.3968000411987305], [-3.1774988174438477, 0.09900358319282532, 1.3968000411987305], [-3.174406051635742, 0.09703099727630615, 1.3968000411987305], [-3.169589042663574, 0.09711268544197083, 1.3968000411987305], [-3.1678805351257324, 0.09738099575042725, 1.3968000411987305], [-3.169398546218872, 0.09797511994838715, 1.3968000411987305], [-3.169013261795044, 0.09919975697994232, 1.3968000411987305], [-3.170393466949463, 0.09989114105701447, 1.3968000411987305], [-3.1673026084899902, 0.09495481848716736, 1.3968000411987305], [-3.1664257049560547, 0.09109644591808319, 1.3968000411987305], [-3.1672074794769287, 0.09376104176044464, 1.3968000411987305], [-3.1644721031188965, 0.09195663034915924, 1.3968000411987305], [-3.166624069213867, 0.08840230107307434, 1.3968000411987305], [-3.1630334854125977, 0.09329226613044739, 1.3968000411987305], [-3.1604766845703125, 0.09750549495220184, 1.3968000411987305], [-3.1564271450042725, 0.10136780142784119, 1.3968000411987305], [-3.16137433052063, 0.09812131524085999, 1.3968000411987305], [-3.163395643234253, 0.10203994810581207, 1.3968000411987305], [-3.1646056175231934, 0.10355556011199951, 1.3968000411987305], [-3.1682584285736084, 0.10219322144985199, 1.3968000411987305], [-3.1652674674987793, 0.099266916513443, 1.3968000411987305], [-3.1631486415863037, 0.0945165604352951, 1.3968000411987305], [-3.165278434753418, 0.08955532312393188, 1.3968000411987305], [-3.168456792831421, 0.09160889685153961, 1.3968000411987305], [-3.1656808853149414, 0.09378701448440552, 1.3968000411987305], [-3.166565179824829, 0.09499238431453705, 1.3968000411987305], [-3.170261859893799, 0.09110480546951294, 1.3968000411987305]]","[-3.154548542901878, 0.022122596605505696, 1.378]",2023_02_14-11_16_17,32.0,0.12579197435232276
0,"[[-0.42220833897590637, -0.46214359998703003, 0.0], [0.2752884328365326, -0.15149825811386108, 0.0], [0.48205721378326416, -0.8573318719863892, 0.0], [0.10175442695617676, 0.6801023483276367, 0.0], [-0.8906619548797607, -0.23553873598575592, 0.0], [0.2448360174894333, -0.13837532699108124, 0.0], [-0.9462061524391174, -0.6499642729759216, 0.0], [-0.42455437779426575, 0.8298295736312866, 0.0], [-0.19342128932476044, 0.3298734128475189, 0.0], [0.8591859340667725, 0.6519182920455933, 0.0], [0.9870481491088867, -0.1593136340379715, 0.0], [-0.6263992786407471, -0.24213190376758575, 0.0], [0.6353331804275513, 0.9852466583251953, 0.0], [-0.38358074426651, 0.8678027987480164, 0.0], [-0.04364698752760887, 0.6519511342048645, 0.0], [0.6472070813179016, 0.9076821208000183, 0.0], [0.46154266595840454, 0.1805942952632904, 0.0], [-0.16714681684970856, -0.9426194429397583, 0.0], [-0.33462655544281006, 0.826267659664154, 0.0], [-0.7088418006896973, 0.11883235722780228, 0.0], [0.7574345469474792, 0.5284754633903503, 0.0], [-0.046015627682209015, -0.41233327984809875, 0.0], [0.29481345415115356, 0.3966422379016876, 0.0], [0.6552629470825195, -0.7249149084091187, 0.0], [-0.27599579095840454, 0.9965978264808655, 0.0], [0.13832233846187592, 0.9642075896263123, 0.0], [0.5386614799499512, 0.06273797154426575, 0.0], [0.42334040999412537, 0.9765586853027344, 0.0], [0.9845542907714844, -0.6713834404945374, 0.0], [0.936581552028656, -0.04025890305638313, 0.0], [-0.730190098285675, -0.5037516355514526, 0.0], [0.41734573245048523, -0.6014561653137207, 0.0], [-0.014101904816925526, -0.6272563934326172, 0.0], [-0.6251506805419922, 0.467316597700119, 0.0], [0.4726494252681732, 0.009642520919442177, 0.0], [-0.582780659198761, 0.26779860258102417, 0.0], [-0.021159792318940163, 0.7243063449859619, 0.0], [0.28599655628204346, -0.26664772629737854, 0.0], [0.46321311593055725, -0.7570697069168091, 0.0], [0.41731756925582886, 0.8588665723800659, 0.0], [-0.15116478502750397, -0.4211759865283966, 0.0], [0.3902527987957001, 0.17931711673736572, 0.0], [-0.38488104939460754, -0.5128479599952698, 0.0], [-0.7103065848350525, 0.03824916109442711, 0.0], [-0.35325750708580017, -0.4957464337348938, 0.0], [0.5124379396438599, -0.45595699548721313, 0.0], [-0.948233962059021, -0.8226407766342163, 0.0], [-0.32755014300346375, -0.5133418440818787, 0.0]]",-48.0,"[-3.174852200538214, -0.026492430135216165, 1.378]",0.0,"[[-3.1721110343933105, 0.09768906235694885, 1.3968000411987305], [-3.1707348823547363, 0.09693139791488647, 1.3968000411987305], [-3.1683249473571777, 0.09264469146728516, 1.3968000411987305], [-3.167816162109375, 0.09604533016681671, 1.3968000411987305], [-3.172269582748413, 0.09486743807792664, 1.3968000411987305], [-3.1710455417633057, 0.09417575597763062, 1.3968000411987305], [-3.175776481628418, 0.09092576801776886, 1.3968000411987305], [-3.1778995990753174, 0.0950746089220047, 1.3968000411987305], [-3.1788668632507324, 0.09672386944293976, 1.3968000411987305], [-3.1745710372924805, 0.09998321533203125, 1.3968000411987305], [-3.169635772705078, 0.09918665885925293, 1.3968000411987305], [-3.1727678775787354, 0.09797574579715729, 1.3968000411987305], [-3.169591188430786, 0.10290171205997467, 1.3968000411987305], [-3.171509265899658, 0.10724076628684998, 1.396799921989441], [-3.1717276573181152, 0.11050036549568176, 1.396799921989441], [-3.1684916019439697, 0.11503873765468597, 1.396799921989441], [-3.166184186935425, 0.11594170331954956, 1.396799921989441], [-3.167020082473755, 0.11122842133045197, 1.396799921989441], [-3.1686933040618896, 0.11535964906215668, 1.396799921989441], [-3.1722373962402344, 0.11595381796360016, 1.396799921989441], [-3.168450117111206, 0.11859637498855591, 1.396799921989441], [-3.16867995262146, 0.11653463542461395, 1.396799921989441], [-3.167206287384033, 0.11851769685745239, 1.396799921989441], [-3.1639299392700195, 0.11489294469356537, 1.396799921989441], [-3.1653101444244385, 0.11987578868865967, 1.396799921989441], [-3.164618730545044, 0.12469683587551117, 1.396799921989441], [-3.1619255542755127, 0.12501046061515808, 1.396799921989441], [-3.159809112548828, 0.12989328801631927, 1.396799921989441], [-3.154886484146118, 0.12653608620166779, 1.3968000411987305], [-3.1502037048339844, 0.12633460760116577, 1.39680016040802], [-3.1538546085357666, 0.12381602823734283, 1.3968002796173096], [-3.1517679691314697, 0.12080860137939453, 1.3968005180358887], [-3.151838779449463, 0.11767226457595825, 1.3968006372451782], [-3.1549644470214844, 0.12000873684883118, 1.3968007564544678], [-3.1526012420654297, 0.12005665898323059, 1.3968008756637573], [-3.155515432357788, 0.121395543217659, 1.3968009948730469], [-3.155621290206909, 0.1250169277191162, 1.396801233291626], [-3.154191255569458, 0.12368343770503998, 1.396801471710205], [-3.1518754959106445, 0.11989817023277283, 1.3968015909194946], [-3.1497888565063477, 0.12419231235980988, 1.3968017101287842], [-3.1505446434020996, 0.12208633124828339, 1.3968018293380737], [-3.1485936641693115, 0.1229829490184784, 1.3968019485473633], [-3.1505184173583984, 0.12041835486888885, 1.3968021869659424], [-3.1540701389312744, 0.12060940265655518, 1.396802306175232], [-3.155836343765259, 0.1181306540966034, 1.3968024253845215], [-3.1532740592956543, 0.11585064232349396, 1.3968024253845215], [-3.158015251159668, 0.11173741519451141, 1.3968024253845215], [-3.1596531867980957, 0.10917048156261444, 1.3968024253845215]]","[-3.1982407090785054, 0.0363586624208719, 1.378]",2023_02_14-11_16_29,48.0,0.18510157806043448
